Date of Sale,Address,Location,Boarea,Biarea,Total Area,Number of Rooms,Plot Area,Closing Price
2022-07-03,Blåsippegatan 12,"VillaVilla Kungälv - Ytterby, Kungälvs kommun",115.0,0.0,115.0,5,569,3850000
2022-06-28,Bergsvägen 4,"VillaVilla Ödsmålsmosse, Kungälvs kommun",88.0,15.0,103.0,2,783,3995000
2022-06-28,Veneröd 439,"VillaVilla Hålta, Kungälvs kommun",118.0,0.0,118.0,3,8133,3680000
2022-06-27,Lefstadvägen 31,"VillaVilla Kärna, Kungälvs kommun",130.0,0.0,130.0,5,881,5050000
2022-06-27,Silvergnejsvägen 18,"VillaVilla Kungälv - Gullbringa, Kungälvs kommun",179.0,0.0,179.0,5,2120,5800000
2022-06-27,Östra gatan 9,"VillaVilla Gamla Kungälv, Kungälvs kommun",325.0,81.0,406.0,10,852,10500000
2022-06-25,Apelvägen 10,"VillaVilla Diseröd, Kungälvs kommun",104.0,0.0,104.0,4,486,3275000
2022-06-23,Dösebacka 110,"VillaVilla Romelanda, Kungälvs kommun",144.0,79.0,223.0,6,5634,5780000
2022-06-22,Lerskärsvägen 18,"VillaVilla Tjuvkil, Kungälvs kommun",65.0,65.0,130.0,5,1216,3995000
2013-05-24,Gårdskiftegatan 41,"VillaVilla Ytterby-Tega, Kungälvs kommun",174.0,14.0,188.0,6,735,3075000
2013-05-24,Kuskalundsvägen 36,"VillaVilla Vävra, Kungälvs kommun",120.0,45.0,165.0,6,1339,1850000
2013-05-23,Vävra 170,"VillaVilla Hålta, Kungälvs kommun",62.0,0.0,62.0,4,1860,1385000
2013-05-23,Stinneröd 160,"VillaVilla Romelanda, Kungälvs kommun",37.0,0.0,37.0,2,1815,595000
2013-05-16,Grokareby 150,"VillaVilla Kareby, Kungälvs kommun",123.0,45.0,168.0,4,2081,2620000
2013-05-14,Duvesjön 370,"VillaVilla Duvesjön, Kungälvs kommun",118.0,0.0,118.0,4,928,2770000
2013-05-09,Alekärr 153,"VillaVilla Romelanda, Kungälvs kommun",150.0,0.0,150.0,8,1411,2800000
2013-05-08,Munkegärdegatan 353,"VillaVilla Munkegärde, Kungälvs kommun",107.0,0.0,107.0,4,612,2630000
2013-04-30,Staby 490,"VillaVilla Kärna, Kungälvs kommun",92.0,60.0,152.0,4,2230,2500000
2013-04-30,Skeppsholmsgatan 3,"VillaVilla Centralt, Kungälvs kommun",95.0,3.0,98.0,4,780,3200000
2013-04-30,Flateby 500,"VillaVilla Kärna - Harestad, Kungälvs kommun",110.0,68.0,178.0,6,4215,2610000
2013-04-21,Stenåldersgatan 4,"VillaVilla Ytterby - Stället, Kungälvs kommun",107.0,5.0,112.0,5,459,2775000
2013-04-18,Ulvesund 419,"VillaVilla Ytterby, Kungälvs kommun",65.0,15.0,80.0,3,688,2150000
2013-04-17,Östra Trädal 360,"VillaVilla Ytterby - Östra Trädal, Kungälvs kommun",160.0,80.0,240.0,7,11627,3400000
2013-04-17,Dösebacka 640,"VillaVilla Dösebacka, Kungälvs kommun",45.0,0.0,45.0,2,1455,1600000
2013-04-13,Åseby Österväg 28,"VillaVilla Bohuslän, Kungälvs kommun",70.0,0.0,70.0,3,1263,1550000
2013-04-11,Plogvägen 188,"VillaVilla Ullstorp, Kungälvs kommun",122.0,0.0,122.0,5,263,3300000
2013-04-10,Ringby 164,"VillaVilla Kareby, Kungälvs kommun",128.0,32.0,160.0,4,1300,3250000
2013-04-08,Jorsalagatan 5,"VillaVilla Iskällan, Kungälvs kommun",185.0,36.0,221.0,6,860,4100000
2013-03-21,Egnahemsgatan 10,"VillaVilla Centralt, Kungälvs kommun",65.0,65.0,130.0,3,446,2825000
2013-03-20,Källeröd 220,"VillaVilla Kareby, Kungälvs kommun",61.0,0.0,61.0,2,1696,1480000
2013-03-08,Bokstigen 4,"VillaVilla Centralt, Kungälvs kommun",140.0,50.0,190.0,5,1661,3330000
2013-02-26,Hällristningsgatan 8,"VillaVilla Ytterby - Stället, Kungälvs kommun",103.0,0.0,103.0,4,262,2725000
2015-04-09,Kristinedalsgatan 15,"VillaVilla Centralt, Kungälvs kommun",145.0,80.0,225.0,6,1191,4300000
2015-03-31,Sköldgatan 6,"VillaVilla Ytterby - Stället, Kungälvs kommun",96.0,8.0,104.0,3,402,3020000
2015-03-30,Almvägen 19,"VillaVilla Romelanda Torp, Kungälvs kommun",140.0,0.0,140.0,5,801,3110000
2015-03-27,Solvagnsgatan 10,"VillaVilla Stället, Kungälvs kommun",139.0,12.0,151.0,5,405,4140000
2015-03-26,Stora Ryr 135,"VillaVilla Lycke, Kungälvs kommun",194.0,0.0,194.0,8,1551,3750000
2015-03-25,Tröskvägen 272,"VillaVilla Ullstorp, Kungälvs kommun",148.0,10.0,158.0,7,678,4870000
2015-03-25,Apelvägen 13,"VillaVilla Romelanda, Kungälvs kommun",106.0,4.0,110.0,6,449,2850000
2015-03-24,Prästvägen 715,"VillaVilla Romelanda, Kungälvs kommun",122.0,122.0,244.0,4,1025,3400000
2015-03-24,Kovikshamn 200,"VillaVilla Kungälv - Kovikshamn, Kungälvs kommun",90.0,85.0,175.0,3,1361,3500000
2015-03-24,Kulperödsvägen 11B,"VillaVilla Kungälv - Hålta, Kungälvs kommun",120.0,127.0,247.0,6,1007,5100000
2015-03-23,Hallebäcksvägen 2,"VillaVilla Kode, Kungälvs kommun",73.0,7.0,80.0,4,1029,1500000
2015-03-20,Flateby 590,"VillaVilla Harestad, Kungälvs kommun",114.0,65.0,179.0,3,3853,1995000
2015-03-20,Fågelstigen 36,"VillaVilla Kungälv, Kungälvs kommun",113.0,5.0,118.0,4,177,2980000
2015-03-19,Skutviksvägen 6,"VillaVilla Marstrand - Instön, Kungälvs kommun",90.0,0.0,90.0,3,1506,3350000
2015-03-19,Munkegärdegatan 320,"VillaVilla Munkegärde, Kungälvs kommun",148.0,36.0,184.0,7,675,4400000
2015-03-19,Ödsmål 595,"VillaVilla Rörtången, Kungälvs kommun",78.0,0.0,78.0,3,12760,5000000
2015-03-18,Norrmannebo 740 A,"VillaVilla Norrmannebo, Kungälvs kommun",84.0,9.0,93.0,5,931,1350000
2015-03-18,Akvamarinvägen 9,"VillaVilla Kode, Kungälvs kommun",107.0,0.0,107.0,5,745,2700000
2015-03-14,Vävra 760,"VillaVilla Hålta, Kungälvs kommun",174.0,0.0,174.0,7,1792,5800000
2015-03-11,Norrmannebo 800,"VillaVilla Norrmannebo, Kungälvs kommun",150.0,10.0,160.0,6,2964,2600000
2015-03-06,Onyxvägen 4,"VillaVilla Kode, Kungälvs kommun",155.0,0.0,155.0,6,669,3600000
2015-03-05,Kulperödsvägen 17,"VillaVilla Bohuslän, Kungälvs kommun",133.0,119.0,252.0,6,2141,4200000
2015-03-05,Rishammarvägen 33,"VillaVilla Kungälv, Kungälvs kommun",112.0,0.0,112.0,4,1003,3430000
2015-03-03,Duvesjön 346,"VillaVilla Kungälv - Romelanda, Kungälvs kommun",145.0,7.0,152.0,6,900,3250000
2015-02-27,Tvetgatan 49,"VillaVilla Bohuslän, Kungälvs kommun",110.0,0.0,110.0,0,156,2100000
2015-02-27,Vitsippegatan 8,"VillaVilla Ytterby, Kungälvs kommun",181.0,0.0,181.0,7,579,3595000
2015-02-26,Hemvägen 41,"VillaVilla Kungälv - Romelanda, Kungälvs kommun",141.0,0.0,141.0,7,924,3610000
2015-02-26,Fregattgatan 5,"VillaVilla Centralt, Kungälvs kommun",126.0,65.0,191.0,5,506,4300000
2015-02-26,Munkholmsgatan 7,"VillaVilla Kungälv, Kungälvs kommun",95.0,0.0,95.0,4,796,2750000
2015-02-26,Lilla Ryr 200,"VillaVilla Kungälv - Lycke, Kungälvs kommun",60.0,60.0,120.0,2,1406,2400000
2015-02-21,Stenåldersgatan 6,"VillaVilla Ytterby Stället, Kungälvs kommun",104.0,0.0,104.0,4,318,3200000
2015-02-13,Gullbringa 110,"VillaVilla Hålta, Kungälvs kommun",180.0,0.0,180.0,5,2068,3495000
2015-02-13,Bärnstensvägen 1,"VillaVilla Kode, Kungälvs kommun",177.0,170.0,347.0,7,1070,3050000
2015-02-12,Tvetgatan 123,"VillaVilla Kungälv, Kungälvs kommun",109.0,0.0,109.0,5,300,2450000
2015-02-12,Mellan-Restad 270,"VillaVilla Hålta, Kungälvs kommun",160.0,14.0,174.0,5,1233,3315000
